ID;ТУ;ДАТА;ПРОЕКТ;ЗАДАЧА;СОДЕРЖАНИЕ;РЕЗУЛЬТАТ;МЕСТО;ОЧТЕТ;ИНФО
1;АЭР;14.11.16;УТСК;МНР;Исполнительная документация;ок;офис АЭР;;
2;ЭА;14.11.16; -;Смена учредителей;Нотариус, переговоры;ок;командировка;;
3;АЭР;14.11.16;УТСК;Согласование ПСИ;Сбор информации, выработка решения;неокончено;офис АЭР;;
4;АЭР;14.11.16; -;Выбор технического решения;Изучение и подбор оборудования;ок;офис АЭР;;
5;АЭР;14.11.16; -;Общие;Возврат денег ЭТМ;неокончено;офис АЭР;;
6;ЛВЕ;14.11.16;РНПК;Сдача работ;Управление;неокончено;офис АЭР;;
7;АЭР;14.11.16;УТСК;Авансовый отчет; -;ок;офис АЭР;;
8;АЭР;14.11.16;Глобус;Сдача работ;Согласование документов;неокончено;офис АЭР;;
9;АЭР;15.11.16;УТСК;МНР;Наземный канал ПНС-1;ок;дома;;
10;АЭР;15.11.16;УТСК;Согласование ПСИ;Изучение НТД;неокончено;дома;;
11;АЭР;15.11.16;УТСК;Согласование ПСИ;Сбор информации, выработка решения;ок;офис АЭР;;
12;АЭР;15.11.16;Глобус;Сдача работ;Согласование документов;неокончено;офис АЭР;;
13;ЛВЕ;15.11.16;РНПК;Сдача работ;Управление;неокончено;офис АЭР;;
14;АЭР;15.11.16;УТСК;Испытания;Подготовка к испытаниям;ок;офис АЭР;;
15;АЭР;15.11.16;ЧаТЭЦ-18;Сдача работ;Подготовка документов;ок;офис АЭР;;
16;ЭА;15.11.16;Техуглерод;Сдача работ;Доработка ТРП на АИИС;ок;офис АЭР;;
17;АЭР;15.11.16; -;Стратегическое планирование;Обсуждение;неокончено;офис АЭР;;
18;АЭР;15.11.16;Си Айрлайд;ТКП;Сбор информации, выработка решения;ок;офис АЭР;;
19;АЭР;15.11.16;АнНПЗ;ТКП;Сбор информации, выработка решения;ок;офис АЭР;;
20;ЛВЕ;16.11.16;РНПК;Сдача работ;Согласование документов;неокончено;командировка;;
21;АЭР;17.11.16;УТСК;Сдача работ;Исполнительная документация;ок;офис АЭР;;
22;АЭР;17.11.16; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
23;ЭА;17.11.16;Техуглерод;Сдача работ;Печать проекта ТМ и СС;ок;офис АЭР;;
24;ЭА;17.11.16; -;Общие; -;ок;офис АЭР;;
25;АЭР;17.11.16;Глобус;Сдача работ;Подготовка документов;неокончено;офис АЭР;;
26;АЭР;07.12.16; -;Общие;Выставка;ок;командировка;;
27;АЭР;07.12.16;Глобус;Техсопровождение;Стык Тульских сетей и МЭС;ок;офис АЭР;;
28;ЛВЕ;07.12.16;РНПК;МНР;Подготовка;неокончено;офис АЭР;;
29;АЭР;07.12.16;Диаскан;Конкурс;Потготовка КЗ, техчасть;неокончено;офис АЭР;;
30;АЭР;07.12.16;Диаскан;Конкурс;Потготовка КЗ;неокончено;офис АЭР;;
31;АЭР;11.12.16;Диаскан;Конкурс;Подача КЗ;ок;офис АЭР;;
32;АЭР;12.12.16;Си Айрлайд;Подготовка ППО;Закупка спецодежды;ок;командировка;;
33;АЭР;12.12.16;УТСК;Сдача работ;Управление;неокончено;офис АЭР;;
34;АЭР;12.12.16;ЧаТЭЦ-18;Сдача работ;Управление;неокончено;офис АЭР;;
35;АЭР;12.12.16;Диаскан;Конкурс;Сопровождение КЗ;неокончено;офис АЭР;;
36;АЭР;12.12.16;РН Энерго;Конкурс;Потготовка КЗ;ок;офис АЭР;;
37;АЭР;15.12.16;Си Айрлайд;ППО; -;ок;командировка;;
38;АЭР;16.12.16;Глобус;Сдача работ; -;неокончено;офис АЭР;;
39;ЭА;16.12.16;ЗГАЭС-2;ПИР;подготовка CAD;ок;офис АЭР;;
40;ЭА;16.12.16;Техуглерод;Финансы; -;ок;офис АЭР;;
41;АЭР;19.12.16;УТСК;Завершение работ;Программа ОЭ, журнал ОЭ;ок;офис АЭР;;
42;АЭР;19.12.16;УТСК;Завершение работ;Управление;неокончено;офис АЭР;;
43;АЭР;19.12.16;Диаскан;Конкурс;Сбербанк;ок;офис АЭР;;
44;ЭА;19.12.16;ЗГАЭС-2;ПИР;Исходники;неокончено;офис АЭР;;
45;КВБ;19.12.16; -;Техника; -;неокончено;офис АЭР;;
46;АЭР;20.12.16;ЧаТЭЦ-18;Сдача работ;Акты КС-2,3;ок;офис АЭР;;
47;АЭР;20.12.16;Диаскан;Конкурс;Бюджет;ок;офис АЭР;;
48;ЭА;20.12.16;Техуглерод;Расчеты; -;ок;офис АЭР;;
49;АЭР;20.12.16;Диаскан;Конкурс;Сбербанк;ок;командировка;;
50;КВБ;20.12.16; -;Личное развитие;Астерос;ок;командировка;;
51;КВБ;20.12.16;Глобус;Техсопровождение;Стечкин;неокончено;офис АЭР;;
52;АЭР;21.12.16;Глобус;Техсопровождение;Стечкин;неокончено;офис АЭР;;
53;АЭР;21.12.16;Диаскан;Конкурс;Подача КЗ;ок;офис АЭР;;
54;АЭР;21.12.16;УТСК;Сметная документация;Исправление замечаний;неокончено;офис АЭР;;
55;АЭР;21.12.16; -;ТО оргтехники; -;ок;офис АЭР;;
56;АЭР;03.01.17;УТСК;Ремонт;Восстановление связи;ок;командировка;;
57;АЭР;08.01.17;УТСК;Техсопровождение;Исправление замечаний;неокончено;командировка;;
58;АЭР;09.01.17;УТСК;Техсопровождение;Перекодировка;ок;офис АЭР;;
59;АЭР;09.01.17;Глобус;Сдача работ;Документы;ок;офис АЭР;;
60;АЭР;09.01.17; -;Ревизия дел; -;ок;офис АЭР;;
61;КВБ;09.01.17;Компоненты;Номенклатура; -;неокончено;офис АЭР;;
62;АЭР;09.01.17; -;ТО оргтехники; -;ок;офис АЭР;;
63;АЭР;10.01.17;Глобус;Сдача работ;Документы;ок;офис АЭР;;
64;АЭР;10.01.17;УТСК;Завершение работ;Управление;неокончено;офис АЭР;;
65;АЭР;10.01.17; -;Конкурс; -;ок;офис АЭР;;
66;АЭР;10.01.17;УТСК;Техсопровождение;Исправление замечаний;ок;офис АЭР;;
67;ЭА;10.01.17; -;Документы; -;ок;офис АЭР;;
68;КВБ;10.01.17;Компоненты;Техника; -;ок;офис АЭР;;
69;КВБ;17.01.17;Астэрос;Постановка задачи;Встреча с Шелеповым;ок;командировка;;
70;КВБ;18.01.17;Астэрос;ППО;совещание в Ай-Секьюрити;ок;командировка;;
71;АЭР;18.01.17;УТСК;Сдача работ;Исполнительная документация;ок;офис АЭР;;
72;АЭР;18.01.17;Метро;Планирование; -;ок;офис АЭР;;
73;КВБ;18.01.17;Астэрос;Подготовка;Изучение НТД;ок;офис АЭР;;
74;АЭР;18.01.17; -;Общие; -;ок;офис АЭР;;
75;АЭР;18.01.17; -;Кадры;встреча с кандидатом;ок;офис АЭР;;
76;КВБ;17.01.17;Астэрос;Подготовка;встреча с Королевым;ок;командировка;;
77;АЭР;17.01.17; -;Общие;конкурсы;ок;офис АЭР;;
78;АЭР;18.01.17;Си Айрлайд;ПИР;Выбор технического решения;неокончено;офис АЭР;;
79;АЭР;19.01.17;ФСК;Конкурс;Переговоры с ССК;неокончено;командировка;;
80;АЭР;19.01.17;Си Айрлайд;ПИР;Выбор технического решения;неокончено;офис АЭР;;
81;КВБ;19.01.17;Астэрос;Подготовка;Изучение НТД;неокончено;офис АЭР;;
82;АЭР;20.01.17;ФСК;Конкурс;Подготовка;неокончено;офис АЭР;;
83;АЭР;20.01.17;РЖД;Конкурс;Переговоры с ЭБ;неокончено;командировка;;
84;АЭР;20.01.17;ФСК;Конкурс;Подготовка;неокончено;офис АЭР;;
85;АЭР;20.01.17; -;Конкурс; -;ок;офис АЭР;;
86;АЭР;23.01.17;УТСК;Сдача работ; -;неокончено;офис АЭР;;
87;ЭА;23.01.17;ЗГАЭС-2;Сметная документация; -;ок;офис АЭР;;
88;АЭР;23.01.17; -;Общие; -;ок;офис АЭР;;
89;АЭР;23.01.17;РН-Энерго;Конкурс; -;ок;офис АЭР;;
90;АЭР;24.01.17;РН-Энерго;Конкурс;Подача КЗ;ок;командировка;;
91;АЭР;24.01.17;УТСК;Сдача работ;письма;ок;офис АЭР;;
92;АЭР;24.01.17;Ростелеком;ПИР;Выбор технического решения;ок;офис АЭР;;
93;АЭР;24.01.17; -;Конкурс; -;ок;офис АЭР;;
94;АЭР;24.01.17;Линде Газ Рус;ТКП; -;ок;офис АЭР;;
95;ЭА;24.01.17;ЗГАЭС-2;Сметная документация; -;ок;офис АЭР;;
96;АЭР;25.01.17;УТСК;Сдача работ;;неокончено;офис АЭР;;
97;АЭР;25.01.17;УТСК;Техсопровождение; -;ок;офис АЭР;;
98;АЭР;25.01.17;Си Айрлайд;ПИР;Выбор технического решения;ок;офис АЭР;;
99;АЭР;25.01.17; -;Техника; -;ок;офис АЭР;;
100;АЭР;25.01.17;Компоненты;Техника;Выбор технического решения;неокончено;офис АЭР;;
101;АЭР;25.01.17; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
102;АЭР;26.01.17;ФСК;Конкурс;Встреча с ЭнПро;ок;командировка;;
103;КВБ;26.01.17;Фин;Подготовка;Встреча;ок;командировка;;
104;АЭР;27.01.17;Свердловская ЖД;ТКП;Расчет стоимости;неокончено;офис АЭР;;
105;АЭР;27.01.17; -;Оснащение офиса;Комплектация;ок;офис АЭР;;
106;АЭР;28.01.17; -;Оснащение офиса;Монтаж;неокончено;офис АЭР;;
107;АЭР;29.01.17; -;Оснащение офиса;Монтаж;ок;офис АЭР;;
108;ЭА;29.01.17;ЗГАЭС-2;ПИР; -;неокончено;офис АЭР;;
109;АЭР;29.01.17;Си Айрлайд;ПИР;Техконтроль;ок;офис АЭР;;
110;АЭР;02.02.17;ФСК;Конкурс;Встреча с Друговым;ок;офис АЭР;;
111;АЭР;02.02.17;УТСК;Техсопровождение; -;ок;офис АЭР;;
112;АЭР;04.02.17;УТСК;Техсопровождение;яч 4 ПНС-5 неверно вкл счетчик;неокончено;дома;;
113;АЭР;05.02.17;УТСК;Техсопровождение;яч 4 ПНС-5 неверно вкл счетчик;неокончено;офис АЭР;;
114;АЭР;05.02.17;ТН ВВ;Конкурс;изучение документации;ок;офис АЭР;;
115;АЭР;06.02.17;УТСК;Техсопровождение;яч 4 ПНС-5 неверно вкл счетчик;ок;офис АЭР;;
116;АЭР;06.02.17;ТН ВВ;Конкурс;подготовка;отмена;офис АЭР;;
117;АЭР;06.02.17;ФСК;Конкурс;Подготовка;неокончено;офис АЭР;;
118;АЭР;07.02.17;ФСК;Конкурс;Встреча с ЭнПро;ок;командировка;;
119;АЭР;07.02.17;Ростелеком;ПИР;Техконтроль;неокончено;офис АЭР;;
120;АЭР;07.02.17;Леруа;ТКП;Бюджет;ок;офис АЭР;;
121;АЭР;07.02.17;Глобус;Анализ;Исполнение бюджета;ок;офис АЭР;;
122;АЭР;07.02.17; -;Кадры;Встреча с соискателем;ок;офис АЭР;;
123;АЭР;07.02.17;Си Айрлайд;Комплектация;Организация доставки ТТН;неокончено;офис АЭР;;
124;АЭР;07.02.17;ФСК;Конкурс;Подготовка: бюджет;ок;офис АЭР;;
125;КВБ;07.02.17;Свердловская ЖД;ТКП;Смета;ок;офис АЭР;;
126;АЭР;08.02.17;Си Айрлайд;ПИР;Техконтроль;неокончено;офис АЭР;;
127;КВБ;08.02.17;Свердловская ЖД;ТКП;Переговоры с заказчиком;неокончено;офис АЭР;;
128;КВБ;08.02.17;ЭАК;Получение оплаты;Подготовка претензии;неокончено;офис АЭР;;
129;КВБ;08.02.17;ЭАК;Получение оплаты;Остатки материалов;неокончено;офис АЭР;;
130;АЭР;08.02.17;Ростелеком;ПИР;Техконтроль;ок;офис АЭР;;
131;АЭР;08.02.17;ФСК;Конкурс;Подготовка;неокончено;офис АЭР;;
132;КВБ;08.02.17; -;Личное развитие;ZWCAD;неокончено;офис АЭР;;
133;АЭР;09.02.17;ФСК;Конкурс;Подготовка;неокончено;офис АЭР;;
134;АЭР;09.02.17;Ростелеком;Комплектация; -;неокончено;офис АЭР;;
135;АЭР;09.02.17; -;Маркетинг;Анализ конкурсов;неокончено;офис АЭР;;
136;АЭР;09.02.17;Си Айрлайд;ПИР;Техконтроль;ок;офис АЭР;;
137;АЭР;09.02.17;УТСК;Обучение;Подготовка;неокончено;офис АЭР;;
138;АЭР;10.02.17;УТСК;Испытания; -;ок;офис АЭР;;
139;АЭР;13.02.17;ФСК;Конкурс;Подготовка;ок;офис АЭР;;
140;АЭР;14.02.17;УТСК;Обучение; -;неокончено;командировка;;
141;АЭР;15.02.17;УТСК;Обучение; -;неокончено;командировка;;
142;АЭР;16.02.17;УТСК;Сдача работ; -;неокончено;командировка;;
143;АЭР;17.02.17;УТСК;Техсопровождение;Разработка регламента;неокончено;офис АЭР;;
144;АЭР;17.02.17;Си Айрлайд;Комплектация; -;неокончено;офис АЭР;;
145;КВБ;17.02.17; -;Личное развитие;nanoCAD;ок;офис АЭР;;
146;АЭР;20.02.17;Си Айрлайд;Комплектация; -;неокончено;командировка;;
147;АЭР;20.02.17;УТСК;Техсопровождение;Разработка регламента;ок;офис АЭР;;
148;АЭР;21.02.17;Ростелеком;ПИР;Выбор технического решения;ок;офис АЭР;;
149;АЭР;21.02.17;Си Айрлайд;Подрядчики;Выбор, переговоры;неокончено;офис АЭР;;
150;КВБ;21.02.17;Свердловская ЖД;ТКП;подготовка;неокончено;офис АЭР;;
151;АЭР;21.02.17; -;Маркетинг;Анализ конкурсов;неокончено;офис АЭР;;
152;АЭР;21.02.17;УТСК;Сметная документация;Устранение замечаний;неокончено;офис АЭР;;
153;АЭР;22.02.17;УТСК;Сметная документация;Устранение замечаний;неокончено;офис АЭР;;
154;АЭР;23.02.17;УТСК;Сметная документация;Устранение замечаний;неокончено;офис АЭР;;
155;АЭР;23.02.17;УТСК;Техсопровождение;Контроль АИИС;ок;офис АЭР;;
156;КВБ;27.02.17; -;Учет; -;ок;офис АЭР;;
157;АЭР;27.02.17; -;Регламенты;Регламент солгасования ГТП;неокончено;офис АЭР;;
158;АЭР;27.02.17;УТСК;Техсопровождение;Контроль АИИС;ок;офис АЭР;;
159;АЭР;27.02.17;УТСК;Сметная документация;Устранение замечаний;неокончено;офис АЭР;;
160;КВБ;27.02.17;ЭАК;Получение оплаты;Подготовка претензии;ок;командировка;;
161;АЭР;27.02.17;УТСК;МНР;Подготовка отчетов;неокончено;офис АЭР;;
162;АЭР;28.02.17;УТСК;Техсопровождение;Снятие показаний;ок;дома;;
163;АЭР;28.02.17;УТСК;Техсопровождение;Консультирование;ок;офис АЭР;;
164;АЭР;28.02.17;УТСК;МНР;Подготовка отчетов;неокончено;офис АЭР;;
165;АЭР;28.02.17; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
166;АЭР;28.02.17;УТСК;Сдача работ;Подготовка документов;ок;офис АЭР;;
167;АЭР;28.02.17;УТСК;Техсопровождение;Неправильно подключен счетчик;ок;офис АЭР;;
168;КВБ;01.03.17;ЭАК;Получение оплаты;Отправка претензии;ок;командировка;;
169;АЭР;01.03.17;УТСК;Сдача работ;Подготовка документов;ок;офис АЭР;;
170;АЭР;01.03.17;УТСК;МНР;Подготовка отчетов;ок;офис АЭР;;
171;АЭР;01.03.17;Си Айрлайд;Подрядчики;Выбор, переговоры;ок;офис АЭР;;
172;АЭР;01.03.17;Ростелеком;ПИР;Выбор технического решения;ок;офис АЭР;;
173;КВБ;01.03.17; -;Личное развитие;RS-485;ок;офис АЭР;;
174;АЭР;02.03.17;УТСК;Техсопровождение;Консультирование;ок;дома;;
175;АЭР;02.03.17;Си Айрлайд;Комплектация;Иготовление деталей;неокончено;офис АЭР;;
176;АЭР;02.03.17;Си Айрлайд;Комплектация;Закупка;неокончено;офис АЭР;;
177;АЭР;02.03.17;Ростелеком;Планирование; -;ок;офис АЭР;;
178;АЭР;02.03.17; -;Общие; -;ок;офис АЭР;;
179;АЭР;03.03.17;Дагнефть;ТКП;подготовка;ок;офис АЭР;;
180;АЭР;03.03.17;УТСК;Сдача работ;Подготовка документов;ок;офис АЭР;;
181;АЭР;03.03.17;Си Айрлайд;Комплектация;Закупка;ок;офис АЭР;;
182;АЭР;03.03.17;Си Айрлайд;Комплектация;Иготовление деталей;неокончено;офис АЭР;;
183;АЭР;03.03.17;Ростелеком;Комплектация; -;неокончено;офис АЭР;;
184;АЭР;03.03.17; -;Склад;Ревизия;ок;офис АЭР;;
185;АЭР;05.03.17;Си Айрлайд;ПИР; -;неокончено;офис АЭР;;
186;АЭР;06.03.17;УТСК;Техсопровождение;Консультирование;ок;дома;;
187;АЭР;06.03.17;Си Айрлайд;ПИР; -;неокончено;офис АЭР;;
188;АЭР;06.03.17;Ростелеком;ПИР;ТЗ;неокончено;офис АЭР;;
189;АЭР;06.03.17;УТСК;Сдача работ;Подготовка документов;ок;офис АЭР;;
190;АЭР;07.03.17;Ростелеком;ПИР;ТЗ;неокончено;офис АЭР;;
191;АЭР;07.03.17;Ростелеком;ПИР;Подготовка испытаний;ок;офис АЭР;;
192;АЭР;07.03.17;Приморский ВК;ТКП; -;ок;офис АЭР;;
193;КВБ;07.03.17; -;Китов; -;ок;офис АЭР;;
194;АЭР;08.03.17;Ростелеком;Техника;Запуск ПО для EA;неокончено;офис АЭР;;
195;АЭР;08.03.17;Ростелеком;Техника;Тестовая схема для сущевки;ок;офис АЭР;;
196;АЭР;09.03.17;Ростелеком;Техника;Тестовая схема для сущевки;ок;офис АЭР;;
197;АЭР;10.03.17; -;Переезд; -;ок;офис АЭР;;
198;АЭР;13.03.17;Ростелеком;Техника;Испытания;ок;офис АЭР;;
199;АЭР;13.03.17;Си Айрлайд;Комплектация; -;ок;офис АЭР;;
200;АЭР;14.03.17;Си Айрлайд;МНР;подготовка;ок;командировка;;
201;АЭР;15.03.17;Си Айрлайд;МНР;производство;ок;командировка;;
202;АЭР;16.03.17;Си Айрлайд;Сдача работ;ИД, обучение;ок;командировка;;
203;АЭР;17.03.17;Ростелеком;Планирование; -;ок;офис АЭР;;
204;АЭР;17.03.17;Ростелеком;ПИР;ТЗ;ок;офис АЭР;;
205;АЭР;20.03.17;Ростелеком;ПИР;ТЗ;ок;офис АЭР;;
206;АЭР;20.03.17;Ростелеком;ПИР;ТРП;ок;офис АЭР;;
207;АЭР;20.03.17;Си Айрлайд;ПИР;РД;ок;офис АЭР;;
208;КВБ;20.03.17;Свердловская ЖД;ТКП;Бюджет;ок;офис АЭР;;
209;АЭР;20.03.17;УТСК;Сдача работ;Акт ПЭ, паспорт-формуляр;неокончено;офис АЭР;;
210;ЭА;21.03.17;ЗГАЭС-2;ПИР;постановка задачи Сенькин ВВ;неокончено;офис АЭР;;
211;АЭР;21.03.17;УТСК;Сдача работ;Акт ПЭ, паспорт-формуляр;ок;офис АЭР;;
212;АЭР;21.03.17; -; -; -;нет данных;офис АЭР;;
213;АЭР;21.03.17; -;Переезд;Наведение порядка;неокончено;офис АЭР;;
214;АЭР;22.03.17;БМТК;Конкурс;подготовка заявки;неокончено;офис АЭР;;
215;АЭР;22.03.17;Ростелеком; -; -;нет данных;офис АЭР;;
216;АЭР;23.03.17;БМТК;Конкурс;подготовка заявки;ок;офис АЭР;;
217;АЭР;23.03.17;Ростелеком;ПИР;Корректировка ТЗ;ок;офис АЭР;;
218;АЭР;23.03.17;Ростелеком;ПИР;Выбор технического решения;ок;офис АЭР;;
219;АЭР;24.03.17; -;Комплектация;замена неверно поставленного оборудования;ок;командировка;;
220;АЭР;24.03.17;УТСК;Сметная документация; -;неокончено;офис АЭР;;
221;АЭР;24.03.17;Ростелеком;ПИР;Выбор технического решения;ок;офис АЭР;;
222;АЭР;27.03.17;Ростелеком;ПИР;Корректировка ТЗ;ок;офис АЭР;;
223;АЭР;27.03.17;Ростелеком;Подрядчики;Выбор, переговоры;ок;офис АЭР;;
224;АЭР;27.03.17;УТСК;Сметная документация; -;ок;офис АЭР;;
225;КВБ;28.03.17;ЭАК;Получение оплаты;Анализ срока давности;ок;офис АЭР;;
226;АЭР;28.03.17;УТСК;Сдача работ;Акт ПЭ, паспорт-формуляр;неокончено;офис АЭР;;
227;АЭР;28.03.17;Ватт;Конкурс;Анализ;ок;офис АЭР;;
228;АЭР;28.03.17; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
229;АЭР;28.03.17;Ростелеком;МНР;Подготовка;ок;офис АЭР;;
230;АЭР;28.03.17;Глобус;Техсопровождение;Нет опроса Леруа;неокончено;офис АЭР;;
231;АЭР;29.03.17;Ватт;Конкурс;подготовка заявки;ок;офис АЭР;;
232;АЭР;29.03.17; -;Переезд;Наведение порядка;неокончено;офис АЭР;;
233;АЭР;30.03.17;Ростелеком;ПИР;Корректировка ТЗ;ок;офис АЭР;;
234;АЭР;30.03.17;ЖиГЭС;Конкурс;подготовка заявки;ок;офис АЭР;;
235;АЭР;30.03.17; -;Склад;Ревизия;ок;офис АЭР;;
236;АЭР;30.03.17;Ростелеком;ПИР;Задание на корректировку ТРП;ок;офис АЭР;;
237;АЭР;30.03.17; -;Документы;Ревизия ;ок;офис АЭР;;
238;АЭР;31.03.17;Ростелеком;ПИР;Задание на корректировку ТРП;ок;офис АЭР;;
239;АЭР;31.03.17;Ростелеком;Комплектация; -;неокончено;офис АЭР;;
240;АЭР;31.03.17; -; -; -;ок;офис АЭР;;
241;АЭР;04.04.17;Ростелеком;Комплектация; -;неокончено;офис АЭР;;
242;АЭР;04.04.17;Леруа;Бюджет; -;ок;офис АЭР;;
243;ЭА;05.04.17;ЗГАЭС-2;ПИР;постановка задачи Сенькин ВВ;ок;офис АЭР;;
244;АЭР;05.04.17;Ростелеком;ПИР;переговоры с ГЭ;ок;офис АЭР;;
245;АЭР;05.04.17;УТСК;Сметная документация; -;неокончено;офис АЭР;;
246;АЭР;05.04.17;УТСК;Техсопровождение;Изучение учета потерь в СЭТ-4ТМ.03М;ок;офис АЭР;;
247;АЭР;05.04.17;Ростелеком;ППО;ключ Альфа Центра;ок;командировка;;
248;АЭР;06.04.17; -; -; -;ок;офис АЭР;;
249;АЭР;07.04.17;УТСК;Техсопровождение;Контроль АИИС;ок;офис АЭР;;
250;АЭР;07.04.17;УТСК;Сметная документация; -;ок;офис АЭР;;
251;АЭР;07.04.17;Леруа;ТКП; -;ок;офис АЭР;;
252;АЭР;11.04.17;УТСК;Сметная документация; -;неокончено;офис АЭР;;
253;АЭР;11.04.17;Ростелеком;Комплектация;Трансформаторы тока;неокончено;офис АЭР;;
254;АЭР;11.04.17;Ростелеком;МНР;Подготовка;ок;офис АЭР;;
255;АЭР;11.04.17;УТСК;Сметная документация; -;ок;офис АЭР;;
256;АЭР;11.04.17;Ростелеком;ПИР;Корректировка ТРП;неокончено;офис АЭР;;
257;АЭР;11.04.17;Ростелеком;ПИР;Корректировка ТЗ;ок;офис АЭР;;
258;АЭР;11.04.17;Ростелеком;Комплектация;Сборка;неокончено;офис АЭР;;
259;АЭР;12.04.17;Ростелеком;МНР;Подготовка;ок;офис АЭР;;
260;АЭР;12.04.17;Ростелеком;ППО;дополнительно;ок;офис АЭР;;
261;АЭР;12.04.17;Ростелеком;Комплектация; -;неокончено;офис АЭР;;
262;АЭР;13.04.17;Ростелеком;МНР;Выполнение;неокончено;Гончарная;;
263;АЭР;14.04.17;Ростелеком;МНР;оплата подрядчику;ок;командировка;;
264;АЭР;14.04.17;Ростелеком;МНР;подготовка;ок;офис АЭР;;
265;АЭР;14.04.17;Ростелеком;МНР;Выполнение;неокончено;Гончарная;;
266;АЭР;14.04.17;Ростелеком;Обучение; -;неокончено;Гончарная;;
267;АЭР;14.04.17;Ростелеком;Планирование; -;ок;офис АЭР;;
268;АЭР;14.04.17;Ростелеком;ПИР;Корректировка ТЗ;ок;офис АЭР;;
269;АЭР;18.04.17;УТСК;Сдача работ;Акты КС-2,3;ок;офис АЭР;;
270;АЭР;18.04.17;Ростелеком;Комплектация;подготовка модемов для ИВК;ок;офис АЭР;;
271;АЭР;18.04.17; -;Сдача работ; -;ок;офис АЭР;;1 кв
272;АЭР;18.04.17;УТСК;Сдача работ;Документы;ок;офис АЭР;;
273;АЭР;18.04.17;Ростелеком;ПИР;Выбор ТТ;ок;офис АЭР;;
274;АЭР;18.04.17;Ростелеком;ППО;Калужская;ок;командировка;;
275;АЭР;19.04.17;Ростелеком;ПИР;Корректировка ТЗ;ок;офис АЭР;;
276;АЭР;20.04.17;Ростелеком;МНР;Выполнение;неокончено;Гончарная;;
277;АЭР;20.04.17;Ростелеком;Обучение;Выполнение;неокончено;Гончарная;;
278;АЭР;20.04.17;Ростелеком;Отгрузка;Подготовка документов;неокончено;офис АЭР;;
279;АЭР;20.04.17;Ростелеком;Комплектация; -;неокончено;офис АЭР;;
280;АЭР;20.04.17;КНПЗ;Конкурс;Подготовка;неокончено;офис АЭР;;
281;АЭР;21.04.17; -; -; -;ок;офис АЭР;;
282;АЭР;24.04.17; -;Общие; -;ок;командировка;;
283;АЭР;24.04.17;Ростелеком;Комплектация; -;ок;офис АЭР;;
284;АЭР;24.04.17; -; -; -;ок;офис АЭР;;
285;АЭР;25.04.17;УТСК;Сдача работ;ОС-1, М-35 и тд;ок;офис АЭР;;
286;АЭР;25.04.17;Си Айрлайд;ПИР;Устранение замечаний;ок;офис АЭР;;
287;АЭР;25.04.17;Ростелеком;МНР;Исполнительная документация;неокончено;офис АЭР;;
288;АЭР;25.04.17;Ростелеком;МНР;RX608;неокончено;офис АЭР;;
289;АЭР;26.04.17;Восток;Конкурс;подготовка заявки;ок;офис АЭР;;
290;АЭР;26.04.17;УТСК;Завершение работ;Документы;ок;офис АЭР;;
291;АЭР;26.04.17; -;Маркетинг;Анализ конкурсов;неокончено;офис АЭР;;
292;АЭР;26.04.17; -;Общие;получение ЭЦП;неокончено;командировка;;
293;АЭР;27.04.17; -; -; -;ок;офис АЭР;;
294;АЭР;01.05.17;Ростелеком;Комплектация;Сборка;неокончено;офис АЭР;;
295;АЭР;02.05.17;Ростелеком;Комплектация;Сборка;неокончено;офис АЭР;;
296;АЭР;02.05.17;УТСК;Завершение работ;Документы;ок;командировка;;
297;АЭР;02.05.17;Ростелеком;Комплектация;Сборка;неокончено;офис АЭР;;
298;АЭР;02.05.17;Ростелеком;МНР;Исполнительная документация;неокончено;офис АЭР;;
299;АЭР;02.05.17;КНПЗ;Конкурс;Подготовка;неокончено;офис АЭР;;
300;АЭР;02.05.17;Глобус;Техсопровождение;не работает связь Тула Леруа;неокончено;офис АЭР;;
301;АЭР;02.05.17; -;Общие;Ревизия плана работ;ок;офис АЭР;;
302;АЭР;02.05.17;Си Айрлайд;МНР;Допуск;ок;офис АЭР;;
303;АЭР;03.05.17;Ростелеком;Комплектация;Сборка;неокончено;офис АЭР;;
304;АЭР;03.05.17;УТСК;Техсопровождение;Ощибка в отчетах;неокончено;офис АЭР;;
305;АЭР;03.05.17;Глобус;Техсопровождение;Резервная SIM заблокирована;ок;офис АЭР;;
306;АЭР;03.05.17;Ростелеком;Комплектация;Ниеншанц получение;ок;командировка;;
307;АЭР;03.05.17;Ростелеком;МНР;наладка NPORT;ок;офис АЭР;;
308;АЭР;03.05.17; -; -;изучение trello.com;ок;офис АЭР;;
309;АЭР;03.05.17;Ростелеком;Комплектация;Ревизия;ок;офис АЭР;;
310;АЭР;03.05.17; -;Общие;Ревизия материалов;ок;офис АЭР;;
311;АЭР;03.05.17; -; -; -;ок;офис АЭР;;
312;АЭР;03.05.17;УТСК ТО;ТКП;подготовка;ок;офис АЭР;;
313;АЭР;03.05.17;КНПЗ;Конкурс;подготовка заявки;неокончено;офис АЭР;;
314;АЭР;05.05.17;КНПЗ;Конкурс;подготовка заявки;ок;офис АЭР;;
