ID;ТУ;ДАТА;ПРОЕКТ;ЗАДАЧА;СОДЕРЖАНИЕ;РЕЗУЛЬТАТ;МЕСТО;ОЧТЕТ;ИНФО
736;АЭР;31.10.17;Т Плюс Самарский;МНР;сдача работ;неокончено;командировка;;
737;ЭА;31.10.17;ЗГАЭС-2;ПИР;ТЗ;неокончено;командировка;;
738;АЭР;01.11.17;Т Плюс Самарский;МНР; -;ок;командировка;;
739;АЭР;02.11.17;Т Плюс Самарский;МНР; -;ок;командировка;;
740;АЭР;03.11.17;НМОУ;ПИР;Техническое решение;ок;командировка;;
741;АЭР;05.11.17; -;Маркетинг;Встреча с Титовым ВВ;ок;командировка;;
742;АЭР;06.11.17; -;Ревизия дел; -;ок;офис АЭР;;
743;АЭР;07.11.17;Ростелеком;Техсопровождение;нет опроса;ок;офис АЭР;;
744;АЭР;07.11.17;Глобус;Техсопровождение;нет опроса;неокончено;офис АЭР;;
745;АЭР;07.11.17;Т Плюс Самарский;Документы;Поставщики;ок;офис АЭР;;
746;АЭР;07.11.17;Т Плюс Самарский;Бюджет;отчет об исполнении;неокончено;офис АЭР;;
747;АЭР;07.11.17;Т Плюс Самарский;МНР;Исполнительная документация;неокончено;офис АЭР;;КЖ НК ТЭЦ-1 ревизия
748;АЭР;07.11.17;Т Плюс Самарский;МНР;Техническое решение;ок;офис АЭР;;конвертер RS485
749;АЭР;07.11.17;Си Айрлайд;Техсопровождение; -;неокончено;офис АЭР;;
750;АЭР;07.11.17; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
751;АЭР;07.11.17; -; -; -;ок;офис АЭР;;
752;ЭА;08.11.17;ЗГАЭС-2;ПИР;Техническое решение;ок;офис АЭР;;
753;АЭР;08.11.17;СК Энергосбыт;ПИР;Техническое решение;неокончено;офис АЭР;;Каскад
754;ЭА;08.11.17;ЗГАЭС-2;ПИР;Ведомости объемов работ;ок;офис АЭР;;
